"Word","Iconicity","ListIdentifier","KupermanAOA","SUBTLEX_Rawfreq","SUBTLEX_dom_POS","SUBTLEX_Percentage_dom_POS","OrthoLength","ParentalInputRawFreq","ChildesAge12Freq","ChildesAge15Freq","ChildesAge18Freq","ChildesAge21Freq","ChildesAge24Freq","ChildesAge27Freq","ChildesAge30Freq","ChildesAge33Freq","ChildesAge36Freq","ChildesAge39Freq","ChildesAge42Freq","ChildesAge45Freq","ChildesAge48Freq","ChildesAge51Freq","ChildesAge54Freq","ChildesAge57Freq","ChildesAge60Freq","ChildesAge63Freq","ChildesAge66Freq","ChildesAge69Freq","Conc","NMorph"
"thrash",1.46153846153846,"list2",8.72,27,"Verb","0.89",6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,NA
"threat",0.307692307692308,"list2",7.14,1059,"Noun","1.00",6,NA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.52,NA
"three",1.61538461538462,"list2",3.69,27654,"Number","1.00",5,1835,1,6,114,279,361,475,480,416,260,269,220,225,248,183,631,182,126,89,139,103,3.62,1
"throat",-0.230769230769231,"list2",5.09,1837,"Noun","1.00",6,71,0,0,0,0,1,0,3,14,13,8,3,0,4,1,16,2,0,0,2,0,4.97,1
"thud",3.38461538461538,"list2",8.06,99,"Noun","0.82",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,1
"thudding",2.66666666666667,"list2",NA,31,"Verb","0.81",8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,NA
"thump",3.3,"list2",7.63,99,"Verb","0.62",5,13,0,0,0,0,0,0,0,7,5,1,0,0,0,1,0,2,0,0,0,0,3.77,1
"thumping",3.16666666666667,"list2",NA,73,"Verb","0.65",8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,NA
"thunder",2.86666666666667,"list2",4.89,679,"Noun","0.95",7,15,0,0,0,0,12,7,4,0,2,3,7,1,5,4,5,5,0,0,0,4,4.34,1
"thunderous",3.07142857142857,"list2",10,14,"Adjective","1.00",10,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,NA
"ticklish",1.33333333333333,"list2",4.67,58,"Adjective","0.74",8,23,0,2,0,0,2,3,0,1,2,1,0,0,2,0,3,0,1,0,0,0,3.22,2
"tie",0.461538461538462,"list2",4.74,2266,"Verb","0.54",3,323,2,1,8,20,11,42,56,49,34,10,21,36,12,14,68,14,17,5,1,2,4.81,NA
"tight",1.91666666666667,"list2",5.25,2597,"Adverb","0.71",5,132,0,0,1,14,18,29,23,17,13,15,20,9,21,7,23,18,5,3,0,0,3.87,1
"tingle",2.33333333333333,"list2",9,56,"Noun","0.70",6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,2
"tingly",2.61538461538462,"list2",NA,35,"Adverb","1.00",6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,NA
"tinkle",3,"list2",5.67,47,"Noun","0.57",6,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3.52,2
"tinkling",3.07692307692308,"list2",8.47,38,"Adjective","0.84",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,2
"title",-0.692307692307692,"list2",6.32,947,"Noun","0.98",5,9,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3.32,1
"tool",0.538461538461538,"list2",5.37,548,"Noun","0.99",4,34,0,1,3,31,3,8,6,6,8,4,2,0,3,1,3,3,2,0,1,0,4.6,1
"tote",0.333333333333333,"list2",10.74,55,"Noun","0.61",4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,NA
"tough",1.84615384615385,"list2",5.47,4616,"Adjective","0.99",5,62,0,0,0,0,1,1,1,10,3,0,1,0,2,1,30,1,0,0,4,0,2.5,1
"tower",1.38461538461538,"list2",6.33,1165,"Noun","1.00",5,200,0,21,10,74,126,170,87,79,14,6,1,17,5,1,4,0,11,0,2,3,4.76,1
"track",0.571428571428571,"list2",6.94,2843,"Noun","0.73",5,112,7,2,1,15,93,95,107,40,14,8,12,11,3,2,18,0,0,4,0,0,4.31,1
"trample",2.07692307692308,"list2",9.21,41,"Verb","0.95",7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,NA
"translucent",0.333333333333333,"list2",11.95,13,"Adjective","1.00",11,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,NA
"transparent",-0.333333333333333,"list2",10.67,92,"Adjective","0.99",11,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,NA
"trap",1.69230769230769,"list2",6.44,1216,"Noun","0.79",4,11,0,0,0,1,0,1,8,3,1,3,4,15,2,14,4,1,0,0,0,2,4.3,1
"treason",0.538461538461538,"list2",11.37,259,"Noun","1.00",7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,NA
"treat",1.28571428571429,"list2",4.61,2646,"Verb","0.77",5,38,0,0,3,5,5,10,10,18,2,4,9,5,1,15,3,1,2,0,3,1,3.79,1
"trend",-0.0714285714285714,"list2",10.84,106,"Noun","0.84",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,1
"trial",0.214285714285714,"list2",9.16,2518,"Noun","1.00",5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.07,1
"triangular",0.533333333333333,"list2",7.8,12,"Adjective","1.00",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,2
"trim",0.181818181818182,"list2",6.95,218,"Verb","0.48",4,7,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3.93,1
"trip",-0.384615384615385,"list2",4.22,4202,"Noun","0.98",4,138,1,0,0,3,6,12,11,1,12,2,5,0,3,1,8,2,2,1,4,0,3.71,1
"trouble",-0.5,"list2",4.56,11401,"Noun","0.97",7,216,0,0,3,1,7,4,19,1,3,9,5,8,8,5,21,10,5,3,3,3,2.25,1
"trunk",0.666666666666667,"list2",8.3,1010,"Noun","1.00",5,64,0,0,0,27,29,21,20,7,28,2,3,4,2,5,0,2,7,1,1,7,4.71,1
"trust",0.2,"list2",6.55,9087,"Verb","0.88",5,19,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2.04,1
"two",1,"list2",4.24,54384,"Number","1.00",3,4140,16,45,175,685,884,1351,1420,966,647,517,419,447,495,377,1176,362,222,157,202,166,4.18,1
"type",1.07692307692308,"list2",6.58,3093,"Noun","0.97",4,68,0,0,0,9,1,1,2,5,0,1,1,4,3,6,10,1,0,1,0,0,3.3,1
"ugly",1.8,"list2",4.17,2150,"Adjective","1.00",4,42,0,0,12,2,0,3,1,4,0,2,4,7,1,2,21,8,3,0,9,0,3.23,1
"ulterior",-0.5,"list2",12.5,46,"Adjective","1.00",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,1
"uneven",0.857142857142857,"list2",7.33,39,"Adjective","1.00",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,2
"unit",-0.214285714285714,"list2",7.79,1845,"Noun","1.00",4,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,1
"unpalatable",-1.33333333333333,"list2",13.69,2,"Adjective","1.00",11,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,NA
"unripe",-0.714285714285714,"list2",7.5,2,"Adjective","1.00",6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,NA
"use",1,"list2",4.5,17536,"Verb","0.86",3,1255,0,1,6,11,44,82,139,66,82,155,62,58,55,53,150,50,33,25,34,34,2.78,1
"value",0.538461538461538,"list2",6.78,1097,"Noun","0.89",5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1
"variety",-0.307692307692308,"list2",7.89,294,"Noun","1.00",7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,1
"vary",-0.357142857142857,"list2",8.94,47,"Verb","1.00",4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,NA
"vegetal",0.384615384615385,"list2",13.4,1,"Adjective","1.00",7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
